"Kommun_code","Year","Kommun_name","Revenue","Index_market","Employee","Population","Population_University","Percent_University","CPI_index","Output","nation_Output","Productivity","AveOutput","AveEmployee","EmployeeIndex","SalesIndex","Infrast","Border","Laen_code","Patent"
1962,2003,"Norberg",22,17,22,5930,296,0.0499156829679595,278.1,7.91082344480403,0.62705343107484,57.3448554835851,241.45679592987,385.065743944637,5.71331008950074,3.27628941415328,0,0,19,94
1962,2004,"Norberg",22,16,24,5949,300,0.0504286434694907,279.2,7.87965616045845,0.628162204448897,52.2665968058062,255.45552790474,406.671280276817,5.90157239125995,3.08455104694262,0,0,19,95
1962,2005,"Norberg",20,14,24,5866,314,0.0535288100920559,280.4,7.13266761768902,0.675913280515742,43.969321603447,272.266756832799,402.813148788927,5.95809746334172,2.61973503510354,0,0,19,80
1962,2006,"Norberg",18,12,20,5843,319,0.0545952421701181,284.22,6.33312222925902,0.697889490517439,45.3733887335331,292.125915423478,418.584775086505,4.77800464574154,2.16794262161858,0,0,19,63
1962,2007,"Norberg",17,10,17,5788,321,0.0554595715272979,290.51,5.85177790781729,0.696518981133249,49.4203660195375,308.23254510413,442.532871972318,3.8415225346386,1.89849449734141,0,0,19,75
1962,2008,"Norberg",15,9,11,5749,315,0.0547921377630892,300.61,4.98985396360733,0.655862927670821,69.164312916973,302.904279176747,461.840830449827,2.38177295612563,1.64733690034657,0,0,19,86
1962,2009,"Norberg",15,9,11,5730,327,0.0570680628272251,299.66,5.00567309617567,0.636977460813184,71.4407052928497,309.593086697796,486.034602076125,2.26321335003987,1.61685557955042,0,0,19,65
1962,2010,"Norberg",17,10,13,5723,334,0.0583609994757994,303.46,5.60205628418902,0.657543944256305,65.5359098415035,319.814357911762,486.377162629758,2.67282286234642,1.75165878129044,0,0,19,48
1962,2011,"Norberg",26,15,17,5725,348,0.0607860262008734,311.43,8.34858555694699,0.625833625330461,78.4702592156807,313.059736607348,500.228373702422,3.39844776780156,2.6667707727034,0,0,19,31
1962,2012,"Norberg",35,21,23,5630,340,0.0603907637655417,314.2,11.1394016549968,0.622144281832325,77.8471851674671,312.277680008987,501.937716262976,4.5822418309665,3.56714628297361,0,0,19,32
